assem	all	pga	pga_like	pag
Acinonyx_jubatus__cheetah__HLaciJub3__GCF_027475565.1	2	1	1	0
Acomys_cahirinus__Egyptian_spiny_mouse__HLacoCah2	1	0	1	0
Acomys_dimidiatus__Eastern_spiny_mouse__HLacoDim1__GCA_907164435.1	1	0	1	0
Acomys_kempi__Kemps_spiny_mouse__HLacoKem1__GCA_907164505.1	1	0	1	0
Acomys_minous__Crete_spiny_mouse__HLacoMin1__GCA_964271855.1	1	0	1	0
Acomys_percivali__Percivals_spiny_mouse__HLacoPer1__GCA_907169655.1	1	0	1	0
Acomys_russatus__golden_spiny_mouse__HLacoRus1__GCA_903995435.1	1	0	1	0
Ailuropoda_melanoleuca__giant_panda__HLailMel3__GCA_029963865.1	2	1	1	0
Alexandromys_fortis__Reed_vole__HLaleFor1__GCF_014885135.2	1	0	1	0
Alexandromys_fortis__reed_vole__HLmicFor1__GCA_014885135.1	1	0	1	0
Alexandromys_oeconomus__Root_vole__HLaleOec1__GCA_963919705.1	1	0	1	0
Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	2	1	1	0
Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1	2	1	1	0
Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	6	1	5	0
Aonyx_cinereus__Asian_small-clawed_otter__HLaonCin1	2	1	1	0
Apodemus_agrarius__Eurasian_field_mouse__HLapoAgr1__GCA_964023405.1	1	0	1	0
Apodemus_speciosus__Large_Japanese_field_mouse__HLapoSpe1__GCA_045298715.1	1	0	1	0
Apodemus_sylvaticus__European_woodmouse__HLapoSyl2__GCF_947179515.1	1	0	1	0
Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	2	1	1	0
Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	2	1	1	0
Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	2	1	1	0
Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	2	1	1	0
Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	2	1	1	0
Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	2	1	1	0
Arvicanthis_niloticus__African_grass_rat__HLarvNil1__GCA_011762505.1	1	0	1	0
Arvicanthis_niloticus__Nile_rat__HLarvNilo2__GCF_011762505.2	1	0	1	0
Arvicola_amphibius__Eurasian_water_mole__HLarvAmp1__GCA_903992535.1	1	0	1	0
Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	2	1	1	0
Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	2	1	1	0
Ateles_fusciceps__Brown-headed_spider_monkey__HLateFus1__GCA_036589455.2	1	1	0	0
Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo2__GCA_023783555.1	1	1	0	0
Ateles_hybridus__brown_spider_monkey__HLateHyb1__GCA_916098195.1	1	1	0	0
Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	52	1	0	51
Balaenoptera_edeni__Edens_whale__HLbalEden2__GCA_052818205.1	3	1	0	2
Balaenoptera_musculus__Blue_whale__HLbalMus2__GCF_009873245.2	3	1	0	2
Balaenoptera_physalus__Fin_whale__HLbalPhy3__GCA_023338255.1	1	1	0	0
Balaenoptera_ricei__Rices_whale__HLbalRic2__GCF_028023285.1	3	1	0	2
Bison_bonasus__European_bison__HLbisBon1__GCA_963879515.1	61	1	0	60
Bos_javanicus__banteng__HLbosJav1__GCF_032452875.1	60	1	0	59
Bos_taurus__cattle__HLbosTau10__GCF_002263795.3	53	1	0	52
